customer_id,age,tenure,service_type,monthly_fee,churn,lifetime_value,service_weight,engagement_score,R_score,F_score,M_score,RFM_score,rfm_segment,_tenure_bucket,_age_group
C1000,56,14,bundle,47.54,0,665.56,3.0,8.124,2,4,1,7,Potential,13-24,56-65
C1001,69,63,tv,31.89,0,2009.07,1.0,4.159,5,3,3,11,Loyal,49+,65+
C1002,46,27,tv,129.43,0,3494.61,1.0,3.332,2,2,4,8,Potential,25-48,46-55
C1003,32,38,bundle,16.51,0,627.38,3.0,10.991,3,5,1,9,Loyal,25-48,26-35
C1004,60,56,tv,96.76,0,5418.56,1.0,4.043,4,3,5,12,Champions,49+,56-65
C1005,25,16,mobile,88.68,0,1418.88,1.0,2.833,2,1,2,5,At Risk,13-24,18-25
C1006,38,43,mobile,58.43,0,2512.49,1.0,3.784,4,2,3,9,Loyal,25-48,36-45
C1007,56,24,mobile,54.13,0,1299.12,1.0,3.219,2,1,2,5,At Risk,13-24,56-65
C1008,36,16,bundle,118.06,0,1888.96,3.0,8.5,2,4,3,9,Loyal,13-24,36-45
C1009,40,12,tv,22.1,0,265.2,1.0,2.565,1,1,1,3,Hibernating,7-12,36-45
C1010,28,24,tv,43.15,0,1035.6,1.0,3.219,2,1,2,5,At Risk,13-24,26-35
C1011,28,67,internet,112.54,0,7540.18,2.0,8.439,5,4,5,14,Champions,49+,26-35
C1012,41,9,internet,86.76,0,780.84,2.0,4.605,1,3,2,6,Potential,7-12,36-45
C1013,53,66,tv,27.92,0,1842.72,1.0,4.205,5,3,3,11,Loyal,49+,46-55
C1014,57,17,tv,133.5,0,2269.5,1.0,2.89,2,1,3,6,Potential,13-24,56-65
C1015,41,33,tv,65.08,0,2147.64,1.0,3.526,3,2,3,8,Potential,25-48,36-45
C1016,20,7,bundle,125.9,1,881.3,3.0,6.238,1,3,2,6,Potential,7-12,18-25
C1017,39,39,tv,120.28,0,4690.92,1.0,3.689,3,2,4,9,Loyal,25-48,36-45
C1018,19,41,internet,97.42,0,3994.22,2.0,7.475,3,4,4,11,Loyal,25-48,18-25
C1019,41,40,bundle,79.23,0,3169.2,3.0,11.141,3,5,4,12,Champions,25-48,36-45
C1020,61,5,tv,147.14,1,735.7,1.0,1.792,1,1,2,4,At Risk,0-6,56-65
C1021,47,51,internet,30.3,0,1545.3,2.0,7.902,4,4,2,10,Loyal,49+,46-55
C1022,55,25,bundle,111.52,0,2788.0,3.0,9.774,2,5,3,10,Loyal,25-48,46-55
C1023,19,63,tv,36.77,0,2316.51,1.0,4.159,5,3,3,11,Loyal,49+,18-25
C1024,38,58,tv,57.36,0,3326.88,1.0,4.078,5,3,4,12,Champions,49+,36-45
C1025,50,55,tv,53.22,0,2927.1,1.0,4.025,4,3,4,11,Loyal,49+,46-55
C1026,29,58,bundle,142.59,0,8270.22,3.0,12.233,5,5,5,15,Champions,49+,26-35
C1027,39,69,internet,145.43,0,10034.67,2.0,8.497,5,4,5,14,Champions,49+,36-45
C1028,61,32,internet,35.62,0,1139.84,2.0,6.993,3,4,2,9,Loyal,25-48,56-65
C1029,42,52,mobile,13.08,0,680.16,1.0,3.97,4,2,1,7,Potential,49+,36-45
C1030,66,21,tv,110.8,1,2326.8,1.0,3.091,2,1,3,6,Potential,13-24,65+
C1031,44,20,mobile,68.52,0,1370.4,1.0,3.045,2,1,2,5,At Risk,13-24,36-45
